"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se605","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se606","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se607","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se608","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se609","PaloVerde",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se610","PaloVerde",189,192,92,92,98,101,115,115,197,200,151,156,113,113,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se22","VerdeR",186,186,92,92,92,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,211,211,163,163,133,133,117,117
"Se23","VerdeR",186,192,92,92,98,104,115,115,185,200,151,160,113,113,114,133,163,190,99,99,211,211,163,163,133,133,117,117
"Se24","VerdeR",192,192,92,92,98,98,115,115,200,200,151,160,115,115,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se25","VerdeR",192,192,92,94,98,98,115,115,197,200,151,160,115,115,114,114,190,190,99,102,209,211,163,163,133,133,117,117
"Se26","VerdeR",192,192,92,92,98,98,115,115,194,200,151,160,115,115,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se27","VerdeR",192,198,92,92,98,98,115,115,200,200,160,160,115,115,114,114,190,190,99,102,201,209,163,163,133,133,117,117
"Se28","VerdeR",186,192,92,92,98,98,115,115,197,200,160,160,115,115,114,114,190,190,99,102,211,211,163,163,133,133,117,117
"Se30","VerdeR",192,192,92,92,98,98,115,115,200,200,148,160,115,115,114,114,190,190,99,99,209,209,163,163,133,139,117,117
"Se391","VerdeR",192,192,92,92,98,101,115,115,185,200,160,160,115,115,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se392","VerdeR",192,192,92,92,98,101,115,115,185,200,160,160,115,115,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se393","VerdeR",192,192,92,92,98,101,115,115,185,200,160,160,113,113,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se394","VerdeR",192,192,92,92,92,98,115,115,185,200,151,160,115,117,114,114,190,190,99,102,209,209,163,163,133,133,117,117
"Se395","VerdeR",192,192,92,94,98,98,115,115,200,200,151,160,113,113,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se396","VerdeR",192,192,92,94,98,98,109,115,197,200,151,160,113,113,114,114,190,190,99,102,209,209,163,163,133,137,117,117
"Se397","VerdeR",192,192,92,92,98,98,115,115,200,200,151,160,115,117,114,114,190,190,99,102,201,209,163,163,133,137,117,117
