"tree.id","geno","pheno","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25"
"tree_29",6,15.25,62.7099144118791,71.5571573438141,73.5002275695082,123.85413165052,74.3385636118848,126.052523923138,72.0935531007926,98.2208094368753,43.7754392418432,52.2459888808258,22.9122870393314,41.1968059673814,124.506032550111,125.569612264623,78.0962066437187,51.6276823555165,73.8845136351696,76.8517200942618,111.29467759835,122.256438652608,71.3654800290569,100.870334428272,54.9821659499814,121.117506481312,116.855680247399
"tree_30",6,15.25,67.7524115029455,59.1746472869682,64.9571819420419,125.48962011508,116.120420782628,114.486735658867,97.1660539915432,96.5340586947159,78.9073144251674,32.8191316403792,37.219563283566,74.2555285402909,100.241424004313,81.8098528027358,101.66483046638,84.2222568377929,80.0983398070595,122.20946791885,107.741921199535,119.508211613825,72.1794757355984,102.152826803969,59.497298825385,111.70971461898,73.0198378522963
"tree_31",7,17.5,1e-05,88.041976508101,1e-05,82.7408383049061,66.8709949344151,90.3483915867562,1e-05,94.8283329293543,75.0866447077311,94.3560591157076,1e-05,122.914112430731,59.1015091681602,88.6670085578976,20.5538991949779,10.6375230822033,58.0714213861325,101.252951299134,0.114346930373536,60.7343786066623,58.3798132722471,83.3397410604329,1e-05,47.138963876306,73.7207656794419
"tree_32",7,17.5,42.76894534727,94.4788802523226,40.5528888575238,96.6874955353322,76.2051761760666,114.124757459216,58.548206452991,95.6223044352206,64.9222793124803,70.870821475856,20.1693709377718,97.6326809631089,105.59642454695,81.7765490750825,77.2567339582556,60.1275475062957,92.0466193387282,73.431302479098,61.1771220150447,75.2251689128245,90.6344658830681,108.673431659384,43.5752698920973,100.53124405149,61.990856198575
"tree_33",7,17.5,1e-05,112.90896659456,1e-05,61.8692127978507,60.1366535107989,44.757229830722,1e-05,89.5586801705604,109.228687669035,115.049951883135,1e-05,101.118092987347,92.5285612743579,54.9547408027048,36.559260889216,1e-05,33.6569050680069,84.5003597841224,14.5963296222302,55.4104342832134,103.85205652774,99.7235510054863,1e-05,28.6589336482593,14.8479429454161
"tree_34",7,17.5,1e-05,117.316645389487,1e-05,93.0280115470913,56.0640208306935,63.7632598951355,1e-05,71.9278669530133,91.4243078726777,95.0861137612544,1e-05,113.196403145235,94.5468403923971,45.6736836708263,24.481285060244,1e-05,3.83990232214995,109.154368098706,1e-05,95.7163467603214,95.2821577855336,80.655834883291,1e-05,66.2846196654918,54.7750779207452
"tree_35",7,17.5,1e-05,96.5800752698296,1e-05,89.5463134186083,92.8500998962932,58.3777238258857,0.487768430010341,77.6483236356882,69.9474944787061,88.8059702625702,1e-05,119.449981728508,65.2317863909034,70.3604068972966,67.449243432633,15.4206184413476,19.7497562100493,78.4849925033168,3.48897363838324,49.7284641392037,66.0968570402666,120.506416028552,1e-05,80.31850519041,37.224636214451
"tree_36",8,16.5,47.6996071134514,107.878874362995,58.914805180703,99.4726829858954,86.4598803023989,113.619477117682,56.6777337011291,81.7005762636966,29.3225732045161,47.6740218524202,36.4499565219863,48.8023790508653,113.705504755824,75.3786125177493,71.9599136925238,56.9955809623553,99.8623367816355,106.722716049906,101.437404339021,80.6915683947549,112.435449995417,101.053886942385,53.1814532628007,101.858177319,80.6906937746989
"tree_37",8,16.5,1e-05,116.259520361109,6.56750575187996,71.44326828236,81.5152678703411,64.4190387669595,13.4012098410061,84.5142468225425,111.760482569524,95.3325778588874,1e-05,122.853826770405,72.9239123215244,89.397451809117,48.0075900718725,1e-05,56.6492331258649,89.8751233890898,37.3644074019939,71.5344585095551,107.117257234175,99.7638665224423,1e-05,43.8186903367483,95.839903568551
"tree_38",8,16.5,1e-05,72.1602398611151,1e-05,78.0961597442052,74.2883973383586,93.4798105777585,1e-05,126.219422693447,82.8695394745495,113.497394993732,1e-05,82.5070916868669,35.7875436775063,51.9198165485281,59.6292441943988,1e-05,1e-05,66.1822814279379,1e-05,48.6387319683744,82.9014242430633,115.352311837737,1e-05,35.3909468149133,29.7053885298975
"tree_39",8,16.5,1e-05,109.349124394097,1e-05,81.2874699640345,95.0554363412454,108.361186007495,13.3403230672305,87.0852968207252,120.303285618726,68.1829874793878,1e-05,104.596391922183,99.9787727679575,52.8847746949131,56.0722464118841,37.721429732549,56.915381609016,72.0103199935935,67.7566895701782,113.940935866959,67.510776171733,83.69670247332,0.508682057533125,97.6972133702491,94.5202769808953
"tree_40",8,16.5,9.24120234134106,74.7601162265862,60.9062169354934,122.358356906431,107.725050531726,122.622075155229,62.8029872964722,118.884983357888,80.3744326504893,104.184240047635,1e-05,85.1412762677178,82.1781146875784,85.2038845195276,89.0525159529647,30.9449932507435,89.8880801371611,87.9752920552365,47.8927090811979,115.358548647785,121.431431351618,110.882365477388,26.3714015275409,64.5758787169406,86.2335940041466
"tree_41",9,18.75,1e-05,90.6821907388137,1e-05,34.4655208141316,39.0084974575412,46.766137307352,1e-05,109.100167518324,90.3347275262714,92.1200661561471,1e-05,124.563277038676,19.5652143330168,2.3453199328989,13.7107908578423,1e-05,9.16901433685778,44.2939371095567,1e-05,57.9861352160937,25.6691445626278,64.4375894200555,1e-05,18.6692526813531,1e-05
"tree_42",9,18.75,1e-05,95.7661592737687,1e-05,96.4670861328403,88.5264136819013,83.7314279729736,1e-05,123.379765712295,72.2034281382538,111.610174500902,1e-05,92.8340734142956,59.4679830380262,84.4662676373313,100.862853166565,16.0004414720631,76.7064280816381,105.069442791263,32.9891408049516,93.0222128559047,75.0049326197892,80.9438413198958,1e-05,73.6383493454053,88.5806210665351
"tree_43",9,18.75,1e-05,47.8777849707721,1e-05,56.2521303805985,14.4516034809043,67.9911607133351,1e-05,77.1959391246704,77.2076634081429,114.539436010105,1e-05,97.830913677843,21.3674871185887,1e-05,1e-05,1e-05,1e-05,85.9309187825465,1e-05,4.76081715486632,51.0366866749546,101.635336567629,1e-05,1e-05,1e-05
"tree_44",9,18.75,0.218893764289621,72.0332339058049,1e-05,63.1251712904847,99.1369219050372,63.8448739878229,2.16890243387147,103.640138679518,119.905922004657,83.0607555514334,1e-05,114.880715688398,99.2769333438306,74.1253154375822,59.3227513875761,1e-05,62.8759803571638,119.06632345268,42.1867540365547,71.8618741888947,91.7741247030752,91.2830207701069,1e-05,75.6362444646585,54.3647795596709
"tree_45",9,18.75,1e-05,108.545050613506,1e-05,33.2715142564763,84.2639882625715,69.1239586201122,1e-05,106.300988163051,106.876773122452,114.209581951985,1e-05,111.821659735994,72.0828831665476,50.4901124211915,11.3741396925926,1e-05,21.1117919369076,117.417535134042,1e-05,54.3104790475657,60.4125673121097,82.9522413986522,1e-05,50.2437110806211,9.77414481672584
"tree_46",10,21,1e-05,76.4756093103744,1e-05,13.6984290411494,38.1417525698955,17.2313221299856,1e-05,103.469073036057,81.9760490614788,104.864203718897,1e-05,68.2427644226541,23.421180291837,18.4434442968588,1e-05,1e-05,1e-05,84.7380290219934,1e-05,14.1533943283008,22.9876696058534,82.5629925918876,1e-05,1e-05,1e-05
"tree_47",10,21,1e-05,106.703503646408,1e-05,66.1203349143095,109.13467148127,81.4913610337873,1e-05,128.523625132273,113.333044950168,79.7593385165529,1e-05,126.795791845971,82.2140762919722,100.581292546331,84.9559473570754,35.9035022137433,75.8039808542427,72.0692052439345,23.429826871968,61.2118502812172,89.2362473349168,108.884642974016,1e-05,45.8325146483313,39.0846246870235
